city,state_abbrev,state_name,county_name,zips
Sand Point,AK,Alaska,Aleutians East,99661
Akutan,AK,Alaska,Aleutians East,99553
King Cove,AK,Alaska,Aleutians East,99612
Cold Bay,AK,Alaska,Aleutians East,99571
Nelson Lagoon,AK,Alaska,Aleutians East,99571
False Pass,AK,Alaska,Aleutians East,99583
Unalaska,AK,Alaska,Aleutians West,99692 99685
St. Paul,AK,Alaska,Aleutians West,99660
Adak,AK,Alaska,Aleutians West,99546
St. George,AK,Alaska,Aleutians West,99591
Atka,AK,Alaska,Aleutians West,99547
Nikolski,AK,Alaska,Aleutians West,99638
Attu Station,AK,Alaska,Aleutians West,
Anchorage,AK,Alaska,Anchorage,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599
Bethel,AK,Alaska,Bethel,99559 99545
Kwethluk,AK,Alaska,Bethel,99621
Quinhagak,AK,Alaska,Bethel,99655
Tuntutuliak,AK,Alaska,Bethel,99680
Toksook Bay,AK,Alaska,Bethel,99637
Akiachak,AK,Alaska,Bethel,99551
Aniak,AK,Alaska,Bethel,99557
Kasigluk,AK,Alaska,Bethel,99609
Nunapitchuk,AK,Alaska,Bethel,99641
Kipnuk,AK,Alaska,Bethel,99614
Chefornak,AK,Alaska,Bethel,99561
Kongiganak,AK,Alaska,Bethel,99559
Napaskiak,AK,Alaska,Bethel,99559
Tununak,AK,Alaska,Bethel,99681
Kwigillingok,AK,Alaska,Bethel,99622
Akiak,AK,Alaska,Bethel,99552
Napakiak,AK,Alaska,Bethel,99634
Tuluksak,AK,Alaska,Bethel,99679
Nightmute,AK,Alaska,Bethel,99690
Eek,AK,Alaska,Bethel,99578
Newtok,AK,Alaska,Bethel,99559
Lower Kalskag,AK,Alaska,Bethel,99626
Goodnews Bay,AK,Alaska,Bethel,99589
Upper Kalskag,AK,Alaska,Bethel,99607
Mekoryuk,AK,Alaska,Bethel,99630
Atmautluak,AK,Alaska,Bethel,99559
Chuathbaluk,AK,Alaska,Bethel,99557
Sleetmute,AK,Alaska,Bethel,99668
Oscarville,AK,Alaska,Bethel,99559
Crooked Creek,AK,Alaska,Bethel,99575
Platinum,AK,Alaska,Bethel,99651
Stony River,AK,Alaska,Bethel,99557
Red Devil,AK,Alaska,Bethel,99656
Lime Village,AK,Alaska,Bethel,99557
Naknek,AK,Alaska,Bristol Bay,99633
King Salmon,AK,Alaska,Bristol Bay,99613
South Naknek,AK,Alaska,Bristol Bay,99670
Healy,AK,Alaska,Denali,99755 99743
Denali Park,AK,Alaska,Denali,99755
Anderson,AK,Alaska,Denali,99704 99760 99744
Cantwell,AK,Alaska,Denali,99729
Ferry,AK,Alaska,Denali,99760 99743
Dillingham,AK,Alaska,Dillingham,99576
Togiak,AK,Alaska,Dillingham,99678
New Stuyahok,AK,Alaska,Dillingham,99636
Manokotak,AK,Alaska,Dillingham,99628
Aleknagik,AK,Alaska,Dillingham,99555 99576
Koliganek,AK,Alaska,Dillingham,99576
Ekwok,AK,Alaska,Dillingham,99580
Twin Hills,AK,Alaska,Dillingham,99678
Clark's Point,AK,Alaska,Dillingham,99569
Portage Creek,AK,Alaska,Dillingham,99576
Fairbanks,AK,Alaska,Fairbanks North Star,99701 99703 99707
Badger,AK,Alaska,Fairbanks North Star,99705 99711
College,AK,Alaska,Fairbanks North Star,99709 99775
Steele Creek,AK,Alaska,Fairbanks North Star,99712 99710
Chena Ridge,AK,Alaska,Fairbanks North Star,99709
Farmers Loop,AK,Alaska,Fairbanks North Star,99712
Goldstream,AK,Alaska,Fairbanks North Star,99709 99708 99725
Eielson AFB,AK,Alaska,Fairbanks North Star,99702
North Pole,AK,Alaska,Fairbanks North Star,99705
Ester,AK,Alaska,Fairbanks North Star,99709
Salcha,AK,Alaska,Fairbanks North Star,99714
Moose Creek,AK,Alaska,Fairbanks North Star,99705
Two Rivers,AK,Alaska,Fairbanks North Star,99712
Pleasant Valley,AK,Alaska,Fairbanks North Star,99712 99716
South Van Horn,AK,Alaska,Fairbanks North Star,99709 99701
Fox,AK,Alaska,Fairbanks North Star,99712
Harding-Birch Lakes,AK,Alaska,Fairbanks North Star,99714
Haines,AK,Alaska,Haines,99827
Mosquito Lake,AK,Alaska,Haines,99827
Lutak,AK,Alaska,Haines,99827
Mud Bay,AK,Alaska,Haines,99827
Covenant Life,AK,Alaska,Haines,99827
Excursion Inlet,AK,Alaska,Haines,99827
Hoonah,AK,Alaska,Hoonah-Angoon,99829
Angoon,AK,Alaska,Hoonah-Angoon,99820
Gustavus,AK,Alaska,Hoonah-Angoon,99826
Tenakee Springs,AK,Alaska,Hoonah-Angoon,99841
Pelican,AK,Alaska,Hoonah-Angoon,99832
Klukwan,AK,Alaska,Hoonah-Angoon,99827
Elfin Cove,AK,Alaska,Hoonah-Angoon,99825
Juneau,AK,Alaska,Juneau,99824 99801 99802 99803 99811 99812 99821 99850
Kalifornsky,AK,Alaska,Kenai Peninsula,99610 99611 99669
Kenai,AK,Alaska,Kenai Peninsula,99611
Soldotna,AK,Alaska,Kenai Peninsula,99669
Homer,AK,Alaska,Kenai Peninsula,99603
Sterling,AK,Alaska,Kenai Peninsula,99672 99669
Nikiski,AK,Alaska,Kenai Peninsula,99611 99635
Seward,AK,Alaska,Kenai Peninsula,99664
Ridgeway,AK,Alaska,Kenai Peninsula,99611 99669
Anchor Point,AK,Alaska,Kenai Peninsula,99556
Fritz Creek,AK,Alaska,Kenai Peninsula,99603
Funny River,AK,Alaska,Kenai Peninsula,99669
Diamond Ridge,AK,Alaska,Kenai Peninsula,99603
Cohoe,AK,Alaska,Kenai Peninsula,99610 99568
Bear Creek,AK,Alaska,Kenai Peninsula,99664
Salamatof,AK,Alaska,Kenai Peninsula,99611
Ninilchik,AK,Alaska,Kenai Peninsula,99639
Kasilof,AK,Alaska,Kenai Peninsula,99610
Happy Valley,AK,Alaska,Kenai Peninsula,99556 99639
Fox River,AK,Alaska,Kenai Peninsula,99603
Kachemak,AK,Alaska,Kenai Peninsula,99603
Cooper Landing,AK,Alaska,Kenai Peninsula,99572
Tyonek,AK,Alaska,Kenai Peninsula,99682
Moose Pass,AK,Alaska,Kenai Peninsula,99631
Seldovia,AK,Alaska,Kenai Peninsula,99663
Nikolaevsk,AK,Alaska,Kenai Peninsula,99556
Clam Gulch,AK,Alaska,Kenai Peninsula,99568
Nanwalek,AK,Alaska,Kenai Peninsula,99603
Port Graham,AK,Alaska,Kenai Peninsula,99603
Lowell Point,AK,Alaska,Kenai Peninsula,99664
Seldovia Village,AK,Alaska,Kenai Peninsula,99663
Primrose,AK,Alaska,Kenai Peninsula,99664
Halibut Cove,AK,Alaska,Kenai Peninsula,99603
Crown Point,AK,Alaska,Kenai Peninsula,99664 99631
Hope,AK,Alaska,Kenai Peninsula,99605
Sunrise,AK,Alaska,Kenai Peninsula,99605
Beluga,AK,Alaska,Kenai Peninsula,99682
Ketchikan,AK,Alaska,Ketchikan Gateway,99901 99950
Saxman,AK,Alaska,Ketchikan Gateway,99901
Kodiak,AK,Alaska,Kodiak Island,99615 99619
Kodiak Station,AK,Alaska,Kodiak Island,99615
Womens Bay,AK,Alaska,Kodiak Island,99615
Old Harbor,AK,Alaska,Kodiak Island,99643
Port Lions,AK,Alaska,Kodiak Island,99550
Ouzinkie,AK,Alaska,Kodiak Island,99644
Larsen Bay,AK,Alaska,Kodiak Island,99624 99615
Akhiok,AK,Alaska,Kodiak Island,99615
Karluk,AK,Alaska,Kodiak Island,99615 99608
Aleneva,AK,Alaska,Kodiak Island,99615
Hooper Bay,AK,Alaska,Kusilvak,99604
Chevak,AK,Alaska,Kusilvak,99563
Mountain Village,AK,Alaska,Kusilvak,99632
Emmonak,AK,Alaska,Kusilvak,99581
Alakanuk,AK,Alaska,Kusilvak,99554
Kotlik,AK,Alaska,Kusilvak,99620
Pilot Station,AK,Alaska,Kusilvak,99650
St. Mary's,AK,Alaska,Kusilvak,99658
Scammon Bay,AK,Alaska,Kusilvak,99662
Marshall,AK,Alaska,Kusilvak,99585
Russian Mission,AK,Alaska,Kusilvak,99657
Nunam Iqua,AK,Alaska,Kusilvak,99666
Pitkas Point,AK,Alaska,Kusilvak,99658
Newhalen,AK,Alaska,Lake and Peninsula,99640 99606
Kokhanok,AK,Alaska,Lake and Peninsula,99606
Port Alsworth,AK,Alaska,Lake and Peninsula,99653
Nondalton,AK,Alaska,Lake and Peninsula,99640
Port Heiden,AK,Alaska,Lake and Peninsula,99549
Egegik,AK,Alaska,Lake and Peninsula,99579
Perryville,AK,Alaska,Lake and Peninsula,99648
Chignik,AK,Alaska,Lake and Peninsula,99564
Igiugig,AK,Alaska,Lake and Peninsula,99613
Chignik Lagoon,AK,Alaska,Lake and Peninsula,99565
Levelock,AK,Alaska,Lake and Peninsula,99625
Pilot Point,AK,Alaska,Lake and Peninsula,99649
Iliamna,AK,Alaska,Lake and Peninsula,99606
Chignik Lake,AK,Alaska,Lake and Peninsula,99548
Pedro Bay,AK,Alaska,Lake and Peninsula,99647
Ugashik,AK,Alaska,Lake and Peninsula,99649
Knik-Fairview,AK,Alaska,Matanuska-Susitna,99654
Wasilla,AK,Alaska,Matanuska-Susitna,99654 99629
Tanaina,AK,Alaska,Matanuska-Susitna,99654
Meadow Lakes,AK,Alaska,Matanuska-Susitna,99688 99654
Palmer,AK,Alaska,Matanuska-Susitna,99645
Gateway,AK,Alaska,Matanuska-Susitna,99645 99654
Fishhook,AK,Alaska,Matanuska-Susitna,99645 99654
Butte,AK,Alaska,Matanuska-Susitna,99645
Big Lake,AK,Alaska,Matanuska-Susitna,99652 99623
Houston,AK,Alaska,Matanuska-Susitna,99694 99652
Willow,AK,Alaska,Matanuska-Susitna,99688
Lazy Mountain,AK,Alaska,Matanuska-Susitna,99645
Sutton-Alpine,AK,Alaska,Matanuska-Susitna,99674
Point MacKenzie,AK,Alaska,Matanuska-Susitna,99654
Talkeetna,AK,Alaska,Matanuska-Susitna,99676
Farm Loop,AK,Alaska,Matanuska-Susitna,99645
Susitna North,AK,Alaska,Matanuska-Susitna,99688 99676
Buffalo Soapstone,AK,Alaska,Matanuska-Susitna,99645
Knik River,AK,Alaska,Matanuska-Susitna,99645
Trapper Creek,AK,Alaska,Matanuska-Susitna,99683
Glacier View,AK,Alaska,Matanuska-Susitna,99674
Chickaloon,AK,Alaska,Matanuska-Susitna,99674
Skwentna,AK,Alaska,Matanuska-Susitna,99667
Nome,AK,Alaska,Nome,99762
Savoonga,AK,Alaska,Nome,99769
Gambell,AK,Alaska,Nome,99742
Unalakleet,AK,Alaska,Nome,99684
Shishmaref,AK,Alaska,Nome,99772
Stebbins,AK,Alaska,Nome,99671
St. Michael,AK,Alaska,Nome,99659
Brevig Mission,AK,Alaska,Nome,99785
Koyuk,AK,Alaska,Nome,99753
Elim,AK,Alaska,Nome,99739
Shaktoolik,AK,Alaska,Nome,99771
Teller,AK,Alaska,Nome,99778
White Mountain,AK,Alaska,Nome,99784
Golovin,AK,Alaska,Nome,99762
Wales,AK,Alaska,Nome,99783
Diomede,AK,Alaska,Nome,99762
Port Clarence,AK,Alaska,Nome,99778
Utqiagvik,AK,Alaska,North Slope,99723
Prudhoe Bay,AK,Alaska,North Slope,99519 99734
Point Hope,AK,Alaska,North Slope,99766
Wainwright,AK,Alaska,North Slope,99782
Nuiqsut,AK,Alaska,North Slope,99789
Anaktuvuk Pass,AK,Alaska,North Slope,99721
Kaktovik,AK,Alaska,North Slope,99747
Atqasuk,AK,Alaska,North Slope,99791
Point Lay,AK,Alaska,North Slope,99759
Kotzebue,AK,Alaska,Northwest Arctic,99752
Selawik,AK,Alaska,Northwest Arctic,99770
Noorvik,AK,Alaska,Northwest Arctic,99763
Buckland,AK,Alaska,Northwest Arctic,99727
Noatak,AK,Alaska,Northwest Arctic,99761
Kivalina,AK,Alaska,Northwest Arctic,99750
Kiana,AK,Alaska,Northwest Arctic,99749
Shungnak,AK,Alaska,Northwest Arctic,99773
Ambler,AK,Alaska,Northwest Arctic,99786
Kobuk,AK,Alaska,Northwest Arctic,99751
Deering,AK,Alaska,Northwest Arctic,99736
Red Dog Mine,AK,Alaska,Northwest Arctic,99752
Petersburg,AK,Alaska,Petersburg Borough,99833
Kupreanof,AK,Alaska,Petersburg Borough,99833
Metlakatla,AK,Alaska,Prince of Wales-Hyder,99926
Craig,AK,Alaska,Prince of Wales-Hyder,99921
Klawock,AK,Alaska,Prince of Wales-Hyder,99925
Kake,AK,Alaska,Prince of Wales-Hyder,99830
Thorne Bay,AK,Alaska,Prince of Wales-Hyder,99919
Hydaburg,AK,Alaska,Prince of Wales-Hyder,99922
Hollis,AK,Alaska,Prince of Wales-Hyder,99921
Coffman Cove,AK,Alaska,Prince of Wales-Hyder,99918
Naukati Bay,AK,Alaska,Prince of Wales-Hyder,99921
Port Alexander,AK,Alaska,Prince of Wales-Hyder,99836
Kasaan,AK,Alaska,Prince of Wales-Hyder,99919
Edna Bay,AK,Alaska,Prince of Wales-Hyder,99921
Whale Pass,AK,Alaska,Prince of Wales-Hyder,99921
Hyder,AK,Alaska,Prince of Wales-Hyder,99923
Sitka,AK,Alaska,Sitka,99835
Skagway,AK,Alaska,Skagway,99840
Deltana,AK,Alaska,Southeast Fairbanks,99737 99731
Tok,AK,Alaska,Southeast Fairbanks,99780
Delta Junction,AK,Alaska,Southeast Fairbanks,99737
Big Delta,AK,Alaska,Southeast Fairbanks,99737
Tetlin,AK,Alaska,Southeast Fairbanks,99780
Alcan Border,AK,Alaska,Southeast Fairbanks,99764
Tanacross,AK,Alaska,Southeast Fairbanks,99780 99776
Fort Greely,AK,Alaska,Southeast Fairbanks,99737
Dry Creek,AK,Alaska,Southeast Fairbanks,99737
Northway,AK,Alaska,Southeast Fairbanks,99764
Eagle,AK,Alaska,Southeast Fairbanks,99738
Whitestone,AK,Alaska,Southeast Fairbanks,99737
Eagle Village,AK,Alaska,Southeast Fairbanks,99738
Dot Lake Village,AK,Alaska,Southeast Fairbanks,99737
Chicken,AK,Alaska,Southeast Fairbanks,99732
Healy Lake,AK,Alaska,Southeast Fairbanks,99706
Valdez,AK,Alaska,Valdez-Cordova,99686
Cordova,AK,Alaska,Valdez-Cordova,99574
Glennallen,AK,Alaska,Valdez-Cordova,99588
Tazlina,AK,Alaska,Valdez-Cordova,99588 99573
Mentasta Lake,AK,Alaska,Valdez-Cordova,99780 99586
Copper Center,AK,Alaska,Valdez-Cordova,99573
Whittier,AK,Alaska,Valdez-Cordova,99693 99686
Gakona,AK,Alaska,Valdez-Cordova,99586
Kenny Lake,AK,Alaska,Valdez-Cordova,99573
Nelchina,AK,Alaska,Valdez-Cordova,99588
Gulkana,AK,Alaska,Valdez-Cordova,99586 99588
Chistochina,AK,Alaska,Valdez-Cordova,99586
Silver Springs,AK,Alaska,Valdez-Cordova,99573
Tatitlek,AK,Alaska,Valdez-Cordova,99677
Chenega,AK,Alaska,Valdez-Cordova,99574
Chitina,AK,Alaska,Valdez-Cordova,99566
Tonsina,AK,Alaska,Valdez-Cordova,99573
Mendeltna,AK,Alaska,Valdez-Cordova,99588
Wrangell,AK,Alaska,Wrangell,99903 99929
Yakutat,AK,Alaska,Yakutat,99689
Fort Yukon,AK,Alaska,Yukon-Koyukuk,99740
Galena,AK,Alaska,Yukon-Koyukuk,99741
Nenana,AK,Alaska,Yukon-Koyukuk,99760
McGrath,AK,Alaska,Yukon-Koyukuk,99627
Huslia,AK,Alaska,Yukon-Koyukuk,99746
Tanana,AK,Alaska,Yukon-Koyukuk,99777
Nulato,AK,Alaska,Yukon-Koyukuk,99765
Grayling,AK,Alaska,Yukon-Koyukuk,99590
Arctic Village,AK,Alaska,Yukon-Koyukuk,99740 99722
Minto,AK,Alaska,Yukon-Koyukuk,99758
Kaltag,AK,Alaska,Yukon-Koyukuk,99748
Holy Cross,AK,Alaska,Yukon-Koyukuk,99602
Allakaket,AK,Alaska,Yukon-Koyukuk,99720
Coldfoot,AK,Alaska,Yukon-Koyukuk,99701
Ruby,AK,Alaska,Yukon-Koyukuk,99768
Venetie,AK,Alaska,Yukon-Koyukuk,99781
Chalkyitsik,AK,Alaska,Yukon-Koyukuk,99788
Koyukuk,AK,Alaska,Yukon-Koyukuk,99754
Nikolai,AK,Alaska,Yukon-Koyukuk,99691
Hughes,AK,Alaska,Yukon-Koyukuk,99745
Anvik,AK,Alaska,Yukon-Koyukuk,99558
Shageluk,AK,Alaska,Yukon-Koyukuk,99665
Takotna,AK,Alaska,Yukon-Koyukuk,99627 99675
Beaver,AK,Alaska,Yukon-Koyukuk,99724
Circle,AK,Alaska,Yukon-Koyukuk,99733
Rampart,AK,Alaska,Yukon-Koyukuk,99767
Manley Hot Springs,AK,Alaska,Yukon-Koyukuk,99756
Central,AK,Alaska,Yukon-Koyukuk,99730
Lake Minchumina,AK,Alaska,Yukon-Koyukuk,99757
Stevens Village,AK,Alaska,Yukon-Koyukuk,99774
Alatna,AK,Alaska,Yukon-Koyukuk,99720
Bettles,AK,Alaska,Yukon-Koyukuk,99726
Livengood,AK,Alaska,Yukon-Koyukuk,99790
Evansville,AK,Alaska,Yukon-Koyukuk,99726
Wiseman,AK,Alaska,Yukon-Koyukuk,99701
Birch Creek,AK,Alaska,Yukon-Koyukuk,99730
Four Mile Road,AK,Alaska,Yukon-Koyukuk,99760
Prattville,AL,Alabama,Autauga,36066 36067 36068
Pine Level,AL,Alabama,Autauga,36067 36022
Marbury,AL,Alabama,Autauga,36022 36051
Autaugaville,AL,Alabama,Autauga,36003
Billingsley,AL,Alabama,Autauga,36006
Daphne,AL,Alabama,Baldwin,36527 36526
Foley,AL,Alabama,Baldwin,36535 36530 36536
Fairhope,AL,Alabama,Baldwin,36532
Gulf Shores,AL,Alabama,Baldwin,36542 36547
Robertsdale,AL,Alabama,Baldwin,36567
Bay Minette,AL,Alabama,Baldwin,36507
Spanish Fort,AL,Alabama,Baldwin,36507 36527 36578 36577
Orange Beach,AL,Alabama,Baldwin,36561 36530
Loxley,AL,Alabama,Baldwin,36551 36527 36578
Point Clear,AL,Alabama,Baldwin,36564 36532
Elberta,AL,Alabama,Baldwin,36530
Lillian,AL,Alabama,Baldwin,36549
Summerdale,AL,Alabama,Baldwin,36535 36580
Stapleton,AL,Alabama,Baldwin,36578
Bon Secour,AL,Alabama,Baldwin,36511 36535
Silverhill,AL,Alabama,Baldwin,36576
Magnolia Springs,AL,Alabama,Baldwin,36535 36555
Perdido,AL,Alabama,Baldwin,36562
Perdido Beach,AL,Alabama,Baldwin,36530
Stockton,AL,Alabama,Baldwin,36507 36579
Eufaula,AL,Alabama,Barbour,36027 36072
Clayton,AL,Alabama,Barbour,36016
Clio,AL,Alabama,Barbour,36017
Louisville,AL,Alabama,Barbour,36048
Bakerhill,AL,Alabama,Barbour,36027
Blue Springs,AL,Alabama,Barbour,36374 36017
Brent,AL,Alabama,Bibb,35042 35034
Woodstock,AL,Alabama,Bibb,35188 35111
Centreville,AL,Alabama,Bibb,35042
West Blocton,AL,Alabama,Bibb,35184
Oneonta,AL,Alabama,Blount,35121
Smoke Rise,AL,Alabama,Blount,35180
Blountsville,AL,Alabama,Blount,35031
Hayden,AL,Alabama,Blount,35180 35079
Cleveland,AL,Alabama,Blount,35049 35121
Locust Fork,AL,Alabama,Blount,35097
Snead,AL,Alabama,Blount,35952
Susan Moore,AL,Alabama,Blount,35952 35031 35121
Allgood,AL,Alabama,Blount,35013 35121
Highland Lake,AL,Alabama,Blount,35121
Nectar,AL,Alabama,Blount,35049 35079
Rosa,AL,Alabama,Blount,35121
County Line,AL,Alabama,Blount,35172
Union Springs,AL,Alabama,Bullock,36089
Midway,AL,Alabama,Bullock,36053
Greenville,AL,Alabama,Butler,36037
Georgiana,AL,Alabama,Butler,36033
McKenzie,AL,Alabama,Butler,36456
Anniston,AL,Alabama,Calhoun,36201 36206 36207 36205 36204
Oxford,AL,Alabama,Calhoun,36260 36203 36253
Jacksonville,AL,Alabama,Calhoun,36265
Saks,AL,Alabama,Calhoun,36201 36206 36202
Piedmont,AL,Alabama,Calhoun,36272
Alexandria,AL,Alabama,Calhoun,36265 36250
West End-Cobb Town,AL,Alabama,Calhoun,36201
Weaver,AL,Alabama,Calhoun,36277
Choccolocco,AL,Alabama,Calhoun,36207 36254
Ohatchee,AL,Alabama,Calhoun,36271
White Plains,AL,Alabama,Calhoun,36207
Hobson City,AL,Alabama,Calhoun,36203 36201
Nances Creek,AL,Alabama,Calhoun,36265 36272
Valley,AL,Alabama,Chambers,36854 36872
Lanett,AL,Alabama,Chambers,36863
La Fayette,AL,Alabama,Chambers,36862
Huguley,AL,Alabama,Chambers,36863
Fredonia,AL,Alabama,Chambers,36855 36863
Abanda,AL,Alabama,Chambers,36276
Standing Rock,AL,Alabama,Chambers,36855
Waverly,AL,Alabama,Chambers,36879
Five Points,AL,Alabama,Chambers,36855
Cusseta,AL,Alabama,Chambers,36852
Penton,AL,Alabama,Chambers,36862
Centre,AL,Alabama,Cherokee,35960
Cedar Bluff,AL,Alabama,Cherokee,35959
Leesburg,AL,Alabama,Cherokee,35983
Sand Rock,AL,Alabama,Cherokee,35983
Spring Garden,AL,Alabama,Cherokee,36272 36275
Broomtown,AL,Alabama,Cherokee,35973
Gaylesville,AL,Alabama,Cherokee,35973
Clanton,AL,Alabama,Chilton,35045 35046
Jemison,AL,Alabama,Chilton,35085
Thorsby,AL,Alabama,Chilton,35171
Maplesville,AL,Alabama,Chilton,36750
Butler,AL,Alabama,Choctaw,36904
Lisman,AL,Alabama,Choctaw,36912
Silas,AL,Alabama,Choctaw,36919
Cullomburg,AL,Alabama,Choctaw,36919
Pennington,AL,Alabama,Choctaw,36916
Gilbertown,AL,Alabama,Choctaw,36908
Toxey,AL,Alabama,Choctaw,36921
Needham,AL,Alabama,Choctaw,36915 36921
Jackson,AL,Alabama,Clarke,36545
Thomasville,AL,Alabama,Clarke,36784
Grove Hill,AL,Alabama,Clarke,36451
Coffeeville,AL,Alabama,Clarke,36524
Whatley,AL,Alabama,Clarke,36482
Fulton,AL,Alabama,Clarke,36446 36451
Carlton,AL,Alabama,Clarke,36545
Rockville,AL,Alabama,Clarke,36545
Lineville,AL,Alabama,Clay,36266
Ashland,AL,Alabama,Clay,36251
Hollins,AL,Alabama,Clay,35072
Delta,AL,Alabama,Clay,36258
Millerville,AL,Alabama,Clay,35072 36251 36267
Heflin,AL,Alabama,Cleburne,36264
Hollis Crossroads,AL,Alabama,Cleburne,36264 36258
Ranburne,AL,Alabama,Cleburne,36273
Fruithurst,AL,Alabama,Cleburne,36262
Edwardsville,AL,Alabama,Cleburne,36262 36272 36261
Enterprise,AL,Alabama,Coffee,36330 36331
Elba,AL,Alabama,Coffee,36323
New Brockton,AL,Alabama,Coffee,36351
Kinston,AL,Alabama,Coffee,36453
Muscle Shoals,AL,Alabama,Colbert,35661 35662
Sheffield,AL,Alabama,Colbert,35660
Tuscumbia,AL,Alabama,Colbert,35674
Cherokee,AL,Alabama,Colbert,35616
Littleville,AL,Alabama,Colbert,35674 35654
Leighton,AL,Alabama,Colbert,35646
Evergreen,AL,Alabama,Conecuh,36401
Castleberry,AL,Alabama,Conecuh,36432
Repton,AL,Alabama,Conecuh,36475
Stewartville,AL,Alabama,Coosa,35151 35183
Goodwater,AL,Alabama,Coosa,35072
Rockford,AL,Alabama,Coosa,35136
Hissop,AL,Alabama,Coosa,35010 35089
Ray,AL,Alabama,Coosa,35010
Weogufka,AL,Alabama,Coosa,35183
Kellyton,AL,Alabama,Coosa,35089
Andalusia,AL,Alabama,Covington,36420 36421
Opp,AL,Alabama,Covington,36467
Florala,AL,Alabama,Covington,36442
Babbie,AL,Alabama,Covington,36467 36421
River Falls,AL,Alabama,Covington,36474 36476 36421
Lockhart,AL,Alabama,Covington,36442 36455
Red Level,AL,Alabama,Covington,36474
Carolina,AL,Alabama,Covington,36420
Heath,AL,Alabama,Covington,36421
Sanford,AL,Alabama,Covington,36420 36421
Horn Hill,AL,Alabama,Covington,36467
Gantt,AL,Alabama,Covington,36038 36421
Onycha,AL,Alabama,Covington,36467
Libertyville,AL,Alabama,Covington,36420
Luverne,AL,Alabama,Crenshaw,36049
Brantley,AL,Alabama,Crenshaw,36009
Rutledge,AL,Alabama,Crenshaw,36049 36071
Dozier,AL,Alabama,Crenshaw,36028
Glenwood,AL,Alabama,Crenshaw,36034
Petrey,AL,Alabama,Crenshaw,36049 36062
Cullman,AL,Alabama,Cullman,35058 35057 35055 35056
Hanceville,AL,Alabama,Cullman,35077
Good Hope,AL,Alabama,Cullman,35057 35055 35077
Holly Pond,AL,Alabama,Cullman,35055 35083
South Vinemont,AL,Alabama,Cullman,35058 35179
Joppa,AL,Alabama,Cullman,35016 35087
Dodge City,AL,Alabama,Cullman,35057 35077
Baileyton,AL,Alabama,Cullman,35019
West Point,AL,Alabama,Cullman,35057 35179
Garden City,AL,Alabama,Cullman,35077 35070
Fairview,AL,Alabama,Cullman,35058
Berlin,AL,Alabama,Cullman,35055
Colony,AL,Alabama,Cullman,35077
East Point,AL,Alabama,Cullman,35058 35055
Ozark,AL,Alabama,Dale,36360 36361
Fort Rucker,AL,Alabama,Dale,36362
Daleville,AL,Alabama,Dale,36322
Midland City,AL,Alabama,Dale,36350
Level Plains,AL,Alabama,Dale,36330 36322
Newton,AL,Alabama,Dale,36371 36352 36360
Ariton,AL,Alabama,Dale,36311
Pinckard,AL,Alabama,Dale,36371
Clayhatchee,AL,Alabama,Dale,36322
Grimes,AL,Alabama,Dale,36303 36350
Napier Field,AL,Alabama,Dale,36303
Selma,AL,Alabama,Dallas,36703 36701 36702
Valley Grande,AL,Alabama,Dallas,36703 36701
Selmont-West Selmont,AL,Alabama,Dallas,36703 36701
Orrville,AL,Alabama,Dallas,36767
Fort Payne,AL,Alabama,DeKalb,35967 35968
Rainsville,AL,Alabama,DeKalb,35986
Henagar,AL,Alabama,DeKalb,35978
Collinsville,AL,Alabama,DeKalb,35961
Sylvania,AL,Alabama,DeKalb,35988 35968
Crossville,AL,Alabama,DeKalb,35962
Fyffe,AL,Alabama,DeKalb,35971
Powell,AL,Alabama,DeKalb,35986 35971
Geraldine,AL,Alabama,DeKalb,35974
Ider,AL,Alabama,DeKalb,35981 35978
Valley Head,AL,Alabama,DeKalb,35989
Hammondville,AL,Alabama,DeKalb,35989
Mentone,AL,Alabama,DeKalb,35984
Pine Ridge,AL,Alabama,DeKalb,35968
Shiloh,AL,Alabama,DeKalb,35986
Millbrook,AL,Alabama,Elmore,36054 36022
Wetumpka,AL,Alabama,Elmore,36093 36092
Tallassee,AL,Alabama,Elmore,36078
Holtville,AL,Alabama,Elmore,36092 36022
Redland,AL,Alabama,Elmore,36093
Emerald Mountain,AL,Alabama,Elmore,36093 36078
Blue Ridge,AL,Alabama,Elmore,36093
Elmore,AL,Alabama,Elmore,36022 36025
Coosada,AL,Alabama,Elmore,36054 36020
Deatsville,AL,Alabama,Elmore,36054 36022
Eclectic,AL,Alabama,Elmore,36024
Atmore,AL,Alabama,Escambia,36502 36503 36504
Brewton,AL,Alabama,Escambia,36426 36427
East Brewton,AL,Alabama,Escambia,36426
Flomaton,AL,Alabama,Escambia,36441
Riverview,AL,Alabama,Escambia,36426
Pollard,AL,Alabama,Escambia,36441
Gadsden,AL,Alabama,Etowah,35901 35903 35904 35902
Rainbow City,AL,Alabama,Etowah,35906
Southside,AL,Alabama,Etowah,35907
Attalla,AL,Alabama,Etowah,35954
Glencoe,AL,Alabama,Etowah,35903 35905
Hokes Bluff,AL,Alabama,Etowah,35903 35905
Whitesboro,AL,Alabama,Etowah,35956
Carlisle-Rockledge,AL,Alabama,Etowah,35956 35954
Lookout Mountain,AL,Alabama,Etowah,35904
